State,Stateabbr,Metro,MetroSize,Numberinhousehold,Poverty,Disability,Lunch,FoodStamps,IncomeScale,Unemployment,Welfare,WIC,SocialSec,SupSocialSec,TotalIncome,Minor,Vet
1,AL,0,0,2,0,0,0,0,32,1,0,0,0,0,77645,0,0
1,AL,0,0,2,0,0,0,0,14,0,0,0,0,0,34694,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,1,0,137954,0,0
1,AL,0,0,2,0,0,0,0,14,0,0,0,1,0,32531,0,0
1,AL,0,0,2,0,0,0,0,33,0,0,0,1,0,81482,0,0
1,AL,0,0,2,1,0,0,1,6,0,0,0,1,0,14632,0,0
1,AL,0,0,2,0,0,0,0,31,0,0,0,0,0,75400,0,0
1,AL,0,0,2,0,0,0,1,41,0,0,0,1,0,152639,0,1
1,AL,0,0,2,1,0,1,1,4,0,0,0,0,0,8800,1,0
1,AL,0,0,2,0,0,0,0,34,0,0,0,1,0,84002,0,0
1,AL,0,0,2,0,0,0,0,14,0,0,0,1,0,32563,0,0
1,AL,0,0,2,0,0,0,0,24,0,0,0,0,0,58000,0,0
1,AL,0,0,2,0,0,0,0,23,1,0,0,0,0,56946,0,0
1,AL,0,0,2,0,0,0,0,11,0,0,0,1,0,25735,0,0
1,AL,0,0,2,0,0,0,0,16,0,0,0,1,0,39309,0,0
1,AL,0,0,2,1,0,0,1,3,0,0,0,0,1,5222,0,0
1,AL,0,0,2,0,0,0,1,13,0,0,0,0,0,31000,0,0
1,AL,0,0,2,0,0,0,0,8,0,0,0,0,0,18000,0,0
1,AL,0,0,2,0,0,0,0,37,0,0,0,1,0,91057,0,0
1,AL,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
1,AL,0,0,2,0,0,0,0,39,0,0,0,1,0,95129,0,0
1,AL,0,0,2,0,0,0,0,25,0,0,0,0,0,60031,0,0
1,AL,0,0,2,0,0,0,1,12,0,0,0,1,1,28224,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,1,0,123426,0,0
1,AL,0,0,2,0,0,0,0,19,0,0,0,1,0,45798,0,0
1,AL,0,0,2,1,0,1,1,1,0,0,0,0,0,2082,1,0
1,AL,0,0,2,1,0,0,0,1,0,0,0,1,0,1406,0,0
1,AL,0,0,2,0,0,0,1,41,0,0,0,0,0,111537,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,0,0,136000,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,1,0,117755,0,0
1,AL,0,0,2,0,0,0,0,22,0,0,0,1,1,54000,0,0
1,AL,0,0,2,0,0,0,0,35,0,0,0,0,0,87254,0,0
1,AL,0,0,2,0,0,0,0,18,0,0,0,0,0,44241,0,0
1,AL,0,0,2,0,0,0,0,23,0,0,0,0,0,55000,0,0
1,AL,0,0,3,0,1,0,0,41,0,0,0,0,0,187603,0,0
1,AL,0,0,3,0,0,0,0,14,0,0,0,1,0,32932,0,1
1,AL,0,0,3,1,0,0,0,6,0,0,1,0,0,13000,1,0
1,AL,0,0,3,0,0,0,0,14,0,0,0,1,1,34010,0,0
1,AL,0,0,3,1,0,1,0,1,0,0,0,1,0,1289,2,0
1,AL,0,0,3,1,0,1,0,5,0,0,0,0,0,12000,2,0
1,AL,0,0,3,0,0,1,0,27,1,0,0,0,0,65031,1,0
1,AL,0,0,3,1,0,1,0,1,0,0,0,0,0,0,2,0
1,AL,0,0,3,0,0,1,0,23,0,0,0,0,0,56000,1,0
1,AL,0,0,3,0,0,0,1,13,0,0,0,0,0,32025,2,0
1,AL,0,0,3,0,0,0,0,14,0,0,0,0,0,33941,1,0
1,AL,0,0,3,0,0,0,0,41,0,0,0,1,0,168185,0,0
